Part Name,Part Type,Price,Wattage,Spec1,Spec2,Spec3,Spec4
Intel® Core™ i3-12100 Processor,CPU,144,60,3.3,4,yes,LGA1700
Intel® Pentium® Gold G7400 Processor,CPU,80,46,3.7,2,yes,LGA1700
Intel® Core™ i9-12900 Processor,CPU,550,65,5,16,yes,LGA1700
Intel® Core™ i7-12700 Processor,CPU,380,65,4,12,yes,LGA1700
AMD® Ryzen™ 7 5800X3D,CPU,300,105,3.4,8,no,AM4
AMD® Ryzen™ 5 5500,CPU,95,65,3.6,6,no,AM4
AMD® Ryzen™ 9 5950X,CPU,470,104,3.4,16,no,AM4
AMD® Ryzen™ 9 5700G,CPU,170,65,3.8,8,yes,AM4
ASRock Z690 Steel Legend LGA 1700 ATX Intel Motherboard,Motherboard,171,50,ATX,4,,LGA1700
GIGABYTE B660M DS3H AX LGA 1700 M-ATX Motherboard,Motherboard,109,50,mATX,4,,LGA1700
GIGABYTE B550 AORUS ELITE AX V2 AM4 ATX Motherboard,Motherboard,169,50,ATX,4,,AM4
GIGABYTE B550M DS3H AC AM4 Micro ATX AMD Motherboard,Motherboard,109,50,mATX,4,,AM4
Nvidia® GeForce™ RTX 3060,GPU,360,170,2445.13,49.5,224,
Nvidia® GeForce™ RTX 3070 Ti,GPU,620,290,3863.52,79.1,305.31,
Nvidia® GeForce™ RTX 3090 Ti,GPU,1100,450,6268.34,131.6,325.9,
Nvidia® GeForce™ RTX 4090,GPU,1800,500,12167.93,147.8,348.2,
AMD® Raedeon™ RX 6600,GPU,230,132,873.99,66.7,199.9,
AMD® Raedeon™ RX 6700 XT,GPU,450,230,1307.3,99.8,228.09,
AMD® Raedeon™ RX 6900 XT,GPU,700,300,2062.04,136,320.04,
AMD® Raedeon™ RX 6950 XT,GPU,750,335,2134.24,141.5,266.95,
Corsair CX650M 650 Watt 80 Plus Bronze ATX,PSU,80,0,650,160,,
Corsair RMx Series RM850x 850 Watt 80 Plus Gold ATX,PSU,150,0,850,150,,
Corsair RMx Series RM1000x 1000 Watt 80 Plus Gold ATX,PSU,189,0,1000,180,,
Corsair Vengeance LPX 32GB (2 x 16GB),RAM,80,30,2,32,3200,
G.Skill Ripjaws V 8GB (2 x 4GB),RAM,30,30,2,8,3200,
G.Skill Ripjaws V 16GB (2 x 8GB),RAM,45,30,2,16,3200,
Lian Li Lancool II MESH Type C RGB Tempered Glass ATX ,Case,110,0,ATX,210,384,
NZXT H5 Flow Tempered Glass ATX,Case,95,0,ATX,185,365,
Lian Li Lancool 205M Mesh Tempered Glass microATX,Case,64,0,mATX,180,375,
Samsung 980 Pro SSD 1TB M.2 NVMe,Storage,110,15,1000,SSD,5500,
Samsung 980 Pro SSD 2TB M.2 NVMe,Storage,170,15,2000,SSD,6000,
Crucial P3 Plus 4TB 3D NAND Flash,Storage,250,15,4000,SSD,4500,
Inland Performance Plus 8TB 3D TLC NAND NVMe M.2,Storage,1000,15,8000,SSD,5800,
WD 2TB Red Plus 5400 RPM,Storage,72,15,2000,HDD,175,
Toshiba N300 6TB 7200 RPM,Storage,135,15,6000,HDD,256,